Country,Country Code,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
France,FRA,,,,,,,,,,,,,,,,,,,,,,,109.617795,109.7621432,109.0610368,105.8487487,105.2599609,103.3045784,103.4366792,105.5904005,106.5411924,105.9697691,106.58818,105.751424,18047.16089,18815.13267,19938.27375,20540.13372,21192.29142,21634.62445,22735.72572,23082.2973,23303.99524,24406.63165,25226.28708,25895.26906,27909.61402,29557.76247,30259.26286,32378.9
United Kingdom,GBR,,,,,,,,,,,,,,,,,,,,,,,76.57386145,73.44703695,71.72960484,70.9608276,70.08494948,70.44007908,72.5299326,75.29976542,77.6911505,80.11999214,82.43830748,81.69566625,14686.39565,16378.00301,16660.08346,17339.71243,17089.36653,17536.75993,17582.25748,17871.44175,18090.76283,18398.67992,19026.83882,19351.46426,20206.7483,24067.88467,24317.09233,25768.08
Greece,GRC,,,,,,,,,,,,,,,,,,,,,,,91.99944864,90.16598075,87.41181253,90.29833431,92.30822482,92.85134803,91.97218643,91.59384558,93.18366006,95.22918501,91.12321491,90.23344578,13896.73884,15790.52082,16527.88885,14887.13457,14260.3905,14242.29416,16439.18398,13608.57134,14573.35978,13841.1033,13982.21237,14469.23182,15094.2383,17184.50267,18173.84553,19522.3
Hungary,HUN,,,,,,,,,,,,,,,,,,,,,,,110.4596381,102.16802,99.20229191,101.5882878,98.0422333,94.69403152,94.50471793,101.9896398,98.24327858,97.44344154,98.63735135,102.7152758,9621.572414,10198.20015,10578.40807,10710.31595,11396.51121,11526.23167,12389.30373,12957.63164,13601.93941,13169.75521,13873.37546,14800.91259,16058.32939,17555.24674,17874.53967,20414.18
Ireland,IRL,,,,,,,,,,,,,,,,,,,,,,,80.70450424,77.11864678,72.1854525,68.3530321,65.01646447,61.13570569,64.34598379,65.75968752,65.32953663,65.64311346,66.04352436,67.12526068,16738.92071,18412.10461,19516.85784,28171.93899,21400.22557,19817.10607,19524.05931,19314.98412,20156.56986,20176.24507,20470.73742,21553.76918,21861.79257,25769.72852,26555.5645,27445.24
Iceland,ISL,,,,,,,,,,,,,,,,,,,,,,,,,,81.74382369,90.786559,89.65144889,94.83827358,90.91466297,95.58409108,93.37262115,89.99731703,89.67683865,18655.40414,27671.94205,22487.81454,19507.78164,20789.73149,20146.09432,20503.15264,21169.99491,21477.45746,24930.59453,24797.44849,25169.4667,26078.86747,27889.58005,29058.99956,30714.47
Israel,ISR,,,,,,,,,,,,,,,,,,,,,,,106.1258222,107.0395674,105.0238154,102.1641939,93.01738182,88.60178607,94.06073073,101.8576591,92.54091357,87.52746451,86.28420519,84.70968969,11541.96474,11785.47019,11884.39726,11959.94792,12582.04021,13116.84955,14124.60503,13616.68811,13756.51173,14763.13105,15460.86851,16080.95601,16110.4605,18350.76442,18075.83481,
Italy,ITA,,,,,,,,,,,,,,,,,,,,,,,103.2375431,102.978307,98.98372996,96.30031397,94.42764516,93.07128424,94.67902447,93.39956952,94.34892204,93.75929118,94.48357306,95.58721051,15981.6773,16977.40725,17651.62184,17493.76556,17901.11883,18359.83011,18580.963,18651.73097,18821.77424,19860.6568,20554.46672,21113.10777,22296.81272,24702.77418,26868.75954,29768.58
Japan,JPN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.02003322,69.11462933,12182.83503,12649.28954,13606.36626,13985.82537,14649.68254,15214.52312,15994.35238,15889.56777,15966.37684,15823.387,15937.79838,16237.48056,16532.18211,19387.13466,19100.50689,
Korea,KOR,35.80771805,37.10562935,44.48954816,41.51649992,42.82436143,39.92923731,41.22238236,44.18969367,49.39419929,45.40154242,43.55957174,40.39505645,40.86454396,38.71407514,36.79458462,37.07134574,39.50029493,40.92508733,42.590206,44.2216784,43.62898433,41.10220476,41.99206021,43.04150201,44.50084852,50.5122248,49.06783802,47.1341292,50.35486201,49.6871007,62.22204176,56.28442718,55.79485378,57.10281856,8205.296381,8986.701362,9589.85011,9453.169423,9949.828766,10398.01507,10378.15063,10806.85209,11582.43639,12050.31198,12458.62146,13469.41449,14771.25228,17119.38424,17810.61,
Lithuania,LTU,,,,,,,,,,,,,,,,,,,,,,,69.18947791,73.13717197,100.5563294,82.36538806,81.69430328,78.88796062,74.27438406,70.38556184,67.23196692,68.13938398,68.23080425,68.69492458,6810.113142,7977.846317,8234.042877,8602.194683,9818.373023,9010.674179,9573.34011,9862.401578,10210.25204,10656.87751,11284.81582,12438.29245,13946.38484,17210.02208,16460.47422,17963.76
